Parent Genre,Genre / Subgenre,Level,BPM Min,BPM Max,Typical BPM,Common Keys,Camelot,Drum Feel,DJ Set Placement,Energy (1-10),Mixes Well With,Transition Tip,Sound Colour FX,Beat FX,Transition Loop (bars),Beat FX Setting (beat),Beat FX Depth (%),Mix-In / Mix-Out,Vocal Density / Layerability,Double-Drop / Mashup,Blend Length (bars),Intro (bars),Intro Feel,Build (bars),Build Feel,Drop/Main (bars),Drop/Main Feel,Breakdown (bars),Breakdown Feel,Outro (bars),Outro Feel,Typical Length,Phrasing,Track Structure,Origin,Era,Sound Signature,Sound Design / Instrumentation,Drum Programming,Harmony Approach,Production Techniques,Scale / Mode,Chord Progression,Essential Synths / Plugins,Mix / Master Targets,Representative Artists,Landmark Track,Key Labels,Peak / Momentum (yrs),Fuses Into / Related,Notes,Top Track 1,Top Track 2,Top Track 3,Top Track 4,Top Track 5
DJ Tools,Battle Tools,Subgenre,,,varies,varies,-,,,,(any - used as bridges),Layer over any track as a transition tool,"Filter - any colour, used as a bridge",Any Beat FX - these are utility layers,1-4 bars (as a bridge),"any, tempo-synced",varies,Layer over any track at any point,"Low - by design, made to layer",n/a - used to bridge,any,-,n/a,-,n/a,-,n/a - utility loop/one-shot,-,n/a,-,n/a,1-4 min,loop/one-shot,"Not a song: acapellas, loops, one-shots and battle edits for use inside other tracks.",,,"Scratch sentences, samples and edits made for turntablism/battles","Source loops, acapellas, one-shots, scratch phrases",Isolated drum patterns or none,n/a - utility,Built for layering/editing into other tracks,n/a,n/a,n/a - source loops/one-shots,n/a,,,,,DJ Tools,,,,,,
Downtempo,Downtempo,Genre,70,110,70-110,Minor/modal,"8A, 9A",Broken / slow 4/4,Warmup/Chillout,3,"Organic House, Ambient, Melodic House",Long ambient/harmonic blend,"Filter + Space + Dub Echo - warm, dubby colour","Reverb, Echo & Ping-Pong for long tails",8-16 bars,Reverb; Echo 1/1-2/1; Ping-Pong,30-60%,In/Out: over long sections - forgiving,Med - some vocals,Low - not drop-based,free / 16+ bars,-,Mellow mood set-up,-,Subtle lift,-,"Laid-back groove - head-nod, chilled energy",-,Atmospheric dip,-,Soft fade,3-6 min,verse/section,"Album/listening arrangement; evolving textures, no fixed drop; not built for beatmatched mixing.",UK/Europe,1990s,"Slow, mellow grooves, trip-hop lineage","Warm pads, mellow keys, organic textures, soft bass","Slow broken/head-nod beats, brushed percussion","Rich jazzy/modal chords, moody minor","Atmosphere & space, texture layering, no hard drop, warmth","Dorian / minor, jazzy",Rich jazzy/modal chords,"Rhodes, pads, samples; Ableton","Master ~-10 to -12 LUFS; warm, wide; mono sub","Bonobo, Thievery Corporation",,Ninja Tune,1994-present,"Organic House, Trip Hop",1001 'Organic House/Downtempo',Teardrop - Massive Attack (1998),Glory Box - Portishead (1994),Lebanese Blonde - Thievery Corporation (2001),Kiara - Bonobo (2010),In the Waiting Line - Zero 7 (2001)
Downtempo,Trip Hop,Subgenre,80,100,80-100,Minor (A/D min),"8A, 7A",Broken / slow,Chillout,3,"Organic House, Ambient, Melodic House",Long ambient/harmonic blend,"Filter + Space + Dub Echo - warm, dubby colour","Reverb, Echo & Ping-Pong for long tails",8-16 bars,Reverb; Echo 1/1-2/1; Ping-Pong,30-60%,In/Out: over long sections - forgiving,Med - some vocals,Low - not drop-based,free / 16+ bars,-,Moody break set-up,-,n/a,-,"Smoky groove - downbeat, cinematic mood",-,Atmospheric dip,-,Soft fade,3-5 min,verse/chorus,"Downtempo song-form; moody breaks, no drop; listening-oriented.","Bristol, UK",1990s,"Downtempo, moody, hip-hop-derived breaks","Warm pads, mellow keys, organic textures, soft bass","Slow broken/head-nod beats, brushed percussion","Rich jazzy/modal chords, moody minor","Atmosphere & space, texture layering, no hard drop, warmth","Dorian / minor, jazzy",Rich jazzy/modal chords,"Rhodes, pads, samples; Ableton","Master ~-10 to -12 LUFS; warm, wide; mono sub","Massive Attack, Portishead",,,1994-99 (niche),Downtempo,,,,,,
Downtempo,Chillout / Chill,Subgenre,70,100,70-100,Minor/modal,"8A, 9A",,,3,"Organic House, Ambient, Melodic House",Long ambient/harmonic blend,"Filter + Space + Dub Echo - warm, dubby colour","Reverb, Echo & Ping-Pong for long tails",8-16 bars,Reverb; Echo 1/1-2/1; Ping-Pong,30-60%,In/Out: over long sections - forgiving,Med - some vocals,Low - not drop-based,free / 16+ bars,-,Mellow mood set-up,-,Subtle lift,-,"Laid-back groove - head-nod, chilled energy",-,Atmospheric dip,-,Soft fade,3-6 min,verse/section,"Album/listening arrangement; evolving textures, no fixed drop; not built for beatmatched mixing.",,,"Relaxed, atmospheric downtempo for lounging and warm-ups","Warm pads, mellow keys, organic textures, soft bass","Slow broken/head-nod beats, brushed percussion","Rich jazzy/modal chords, moody minor","Atmosphere & space, texture layering, no hard drop, warmth","Dorian / minor, jazzy",Rich jazzy/modal chords,"Rhodes, pads, samples; Ableton","Master ~-10 to -12 LUFS; warm, wide; mono sub",,,,,"Downtempo, Ambient",,,,,,
Drum & Bass,Drum & Bass,Genre,160,180,160-180,Minor (E/F/G min),"9A, 4A, 6A",Breakbeat,Peak/Festival,8,"Jungle, Halftime, Dubstep (halftime)",Double-drop or bass-swap on the drop,"Filter + Crush - filter the breaks, crush for edge","Echo & Roll on the drop; Reverb tail, Spiral for lift",4-8 bars; 1-2 bar roll into drop,Echo 1/1; Roll 1/8; Reverb tail,40-60%; 100% on the drop,In: 16-32 bar DJ intro. Out: on the drop (double-drop) or rollout,Low-Med - mostly instrumental drops,High - double-drops are a staple (match keys),8-16 bars,32,DJ-tool beats & bass - steady in,-,"Tension roll, filter & riser",32,Break + sub explosion - high-energy rollout,16-32,Halftime/atmospheric breather,32,Beats thin for mix,5-6 min,16/32-bar,"DJ intro (16-32 bars, beats/bass) -> first drop -> breakdown/rollout -> second drop -> outro. Break-led, 170+ BPM.",UK,early 1990s,"Fast chopped breaks, deep sub-bass, 170+ BPM","Chopped breakbeats, Reese/neuro & sub bass, cinematic pads","170 BPM chopped amen/2-step breaks, layered snares, ghost notes","Minor pads & atmospheres, sub as the foundation","Break editing, bass sound-design (Reese/neuro), sub management, drops",Natural minor,"i-VI minor pads, sub-led","Reese via Serum/Massive, Amen breaks; Serum",Master ~-6 to -8 LUFS; mono sub <120Hz; tight break bus,"Sub Focus, Netsky, Wilkinson",Sub Focus - Timewarp,"Hospital, RAM",1994-98; resurgence 2022-present,"Jungle, Halftime",,Original Nuttah - UK Apache & Shy FX (1994),Inner City Life - Goldie (1994),Brown Paper Bag - Roni Size / Reprazent (1997),Timewarp - Sub Focus (2009),If We Ever - High Contrast (2004)
Drum & Bass,Liquid,Subgenre,170,175,170-175,Minor (E/F/G min),"9A, 4A, 6A",Breakbeat,Peak,8,"Jungle, Halftime, Dubstep (halftime)",Double-drop or bass-swap on the drop,"Filter + Crush - filter the breaks, crush for edge","Echo & Roll on the drop; Reverb tail, Spiral for lift",4-8 bars; 1-2 bar roll into drop,Echo 1/1; Roll 1/8; Reverb tail,40-60%; 100% on the drop,In: 16-32 bar DJ intro. Out: on the drop (double-drop) or rollout,Low-Med - mostly instrumental drops,High - double-drops are a staple (match keys),8-16 bars,32,DJ-tool beats & bass - steady in,-,"Tension roll, filter & riser",32,Break + sub explosion - high-energy rollout,16-32,Halftime/atmospheric breather,32,Beats thin for mix,5-6 min,16/32-bar,"DJ intro (16-32 bars, beats/bass) -> first drop -> breakdown/rollout -> second drop -> outro. Break-led, 170+ BPM.",UK,2000s,"Smooth, melodic, soulful DnB","Chopped breakbeats, Reese/neuro & sub bass, cinematic pads","170 BPM chopped amen/2-step breaks, layered snares, ghost notes","Minor pads & atmospheres, sub as the foundation","Break editing, bass sound-design (Reese/neuro), sub management, drops",Natural minor,"i-VI minor pads, sub-led","Reese via Serum/Massive, Amen breaks; Serum",Master ~-6 to -8 LUFS; mono sub <120Hz; tight break bus,"Netsky, London Elektricity",,Hospital,2004-present,Drum & Bass,,If We Ever - High Contrast (2004),Everyday - Netsky (2010),Bricks Don't Roll - London Elektricity (2008),Broken Language - Sigma (2011),
Drum & Bass,Jump Up,Subgenre,172,176,172-176,Minor (E/F/G min),"9A, 4A, 6A",Breakbeat,Peak,8,"Jungle, Halftime, Dubstep (halftime)",Double-drop or bass-swap on the drop,"Filter + Crush - filter the breaks, crush for edge","Echo & Roll on the drop; Reverb tail, Spiral for lift",4-8 bars; 1-2 bar roll into drop,Echo 1/1; Roll 1/8; Reverb tail,40-60%; 100% on the drop,In: 16-32 bar DJ intro. Out: on the drop (double-drop) or rollout,Low-Med - mostly instrumental drops,High - double-drops are a staple (match keys),8-16 bars,32,DJ-tool beats & bass - steady in,-,"Tension roll, filter & riser",32,Break + sub explosion - high-energy rollout,16-32,Halftime/atmospheric breather,32,Beats thin for mix,5-6 min,16/32-bar,"DJ intro (16-32 bars, beats/bass) -> first drop -> breakdown/rollout -> second drop -> outro. Break-led, 170+ BPM.",UK,1990s,"Bouncy, comedic reese basslines","Chopped breakbeats, Reese/neuro & sub bass, cinematic pads","170 BPM chopped amen/2-step breaks, layered snares, ghost notes","Minor pads & atmospheres, sub as the foundation","Break editing, bass sound-design (Reese/neuro), sub management, drops",Natural minor,"i-VI minor pads, sub-led","Reese via Serum/Massive, Amen breaks; Serum",Master ~-6 to -8 LUFS; mono sub <120Hz; tight break bus,"Hazard, DJ Guv",,,1996-present,Drum & Bass,,,,,,
Drum & Bass,Jungle,Subgenre,160,170,160-170,Minor (E/F/G min),"9A, 4A, 6A",Breakbeat,Peak,8,"Drum & Bass, Halftime","Bass-swap on the drop, break-roll bridge",Filter + Crush - chop the amen breaks,Echo & Roll on the drop; Reverb tail,4-8 bars; 1-2 bar roll,Echo 1/1; Roll 1/8; Reverb,40-70%; 100% drop,In: 16-32 bar intro. Out: on the drop / breakdown,Low-Med - ragga vocals,High - double-drops work,8-16 bars,32,Amen-break rolls in,-,Ragga vocal & riser tension,32,Chopped amen + reggae bass explosion - rowdy rave energy,16-32,Ragga/atmo breather,32,Breaks thin for mix,5-6 min,16/32-bar,DJ intro -> amen-break drop -> ragga/reggae breakdown -> second drop -> outro. 160-170 BPM.,UK,early 1990s,"Chopped amen breaks, reggae/ragga bass","Chopped breakbeats, Reese/neuro & sub bass, cinematic pads","170 BPM chopped amen/2-step breaks, layered snares, ghost notes","Minor pads & atmospheres, sub as the foundation","Break editing, bass sound-design (Reese/neuro), sub management, drops",Natural minor,"Minor pads, ragga stabs","Amen breaks, sub bass; Serum",Master ~-7 LUFS; chopped breaks; mono sub,"Congo Natty, DJ Hype",,,1993-97; revival 2022-present,Drum & Bass,,Original Nuttah - UK Apache & Shy FX (1994),Incredible - M-Beat ft General Levy (1994),Inner City Life - Goldie (1994),Music - LTJ Bukem (1993),Terminator - Metalheadz (Goldie) (1992)
Drum & Bass,Deep (DnB),Subgenre,170,174,170-174,Minor (E/F/G min),"9A, 4A, 6A",,,8,"Jungle, Halftime, Dubstep (halftime)",Double-drop or bass-swap on the drop,"Filter + Crush - filter the breaks, crush for edge","Echo & Roll on the drop; Reverb tail, Spiral for lift",4-8 bars; 1-2 bar roll into drop,Echo 1/1; Roll 1/8; Reverb tail,40-60%; 100% on the drop,In: 16-32 bar DJ intro. Out: on the drop (double-drop) or rollout,Low-Med - mostly instrumental drops,High - double-drops are a staple (match keys),8-16 bars,32,DJ-tool beats & bass - steady in,-,"Tension roll, filter & riser",32,Break + sub explosion - high-energy rollout,16-32,Halftime/atmospheric breather,32,Beats thin for mix,5-6 min,16/32-bar,"DJ intro (16-32 bars, beats/bass) -> first drop -> breakdown/rollout -> second drop -> outro. Break-led, 170+ BPM.",,,"Deep, atmospheric drum & bass - moody pads over rolling breaks","Chopped breakbeats, Reese/neuro & sub bass, cinematic pads","170 BPM chopped amen/2-step breaks, layered snares, ghost notes","Minor pads & atmospheres, sub as the foundation","Break editing, bass sound-design (Reese/neuro), sub management, drops",Natural minor,"i-VI minor pads, sub-led","Reese via Serum/Massive, Amen breaks; Serum",Master ~-6 to -8 LUFS; mono sub <120Hz; tight break bus,,,,,"Drum & Bass, Liquid",,,,,,
Drum & Bass,Halftime,Subgenre,85,90,85-90 (170 feel),Minor (E/F/G min),"9A, 4A, 6A",,,8,"Jungle, Halftime, Dubstep (halftime)",Double-drop or bass-swap on the drop,"Filter + Crush - filter the breaks, crush for edge","Echo & Roll on the drop; Reverb tail, Spiral for lift",4-8 bars; 1-2 bar roll into drop,Echo 1/1; Roll 1/8; Reverb tail,40-60%; 100% on the drop,In: 16-32 bar DJ intro. Out: on the drop (double-drop) or rollout,Low-Med - mostly instrumental drops,High - double-drops are a staple (match keys),8-16 bars,32,DJ-tool beats & bass - steady in,-,"Tension roll, filter & riser",32,Break + sub explosion - high-energy rollout,16-32,Halftime/atmospheric breather,32,Beats thin for mix,5-6 min,16/32-bar,"DJ intro (16-32 bars, beats/bass) -> first drop -> breakdown/rollout -> second drop -> outro. Break-led, 170+ BPM.",,,"DnB at 170 that feels like 85 - spacious, heavy, hip-hop-tinged drums","Chopped breakbeats, Reese/neuro & sub bass, cinematic pads","170 BPM chopped amen/2-step breaks, layered snares, ghost notes","Minor pads & atmospheres, sub as the foundation","Break editing, bass sound-design (Reese/neuro), sub management, drops",Natural minor,"i-VI minor pads, sub-led","Reese via Serum/Massive, Amen breaks; Serum",Master ~-6 to -8 LUFS; mono sub <120Hz; tight break bus,"Ivy Lab, Alix Perez",,,,Drum & Bass,,,,,,
Drum & Bass,Neurofunk,Subgenre,172,176,172-176,Minor (E/F/G min),"9A, 4A, 6A",Breakbeat,Peak,8,"Jungle, Halftime, Dubstep (halftime)",Double-drop or bass-swap on the drop,"Filter + Crush - filter the breaks, crush for edge","Echo & Roll on the drop; Reverb tail, Spiral for lift",4-8 bars; 1-2 bar roll into drop,Echo 1/1; Roll 1/8; Reverb tail,40-60%; 100% on the drop,In: 16-32 bar DJ intro. Out: on the drop (double-drop) or rollout,Low-Med - mostly instrumental drops,High - double-drops are a staple (match keys),8-16 bars,32,DJ-tool beats & bass - steady in,-,"Tension roll, filter & riser",32,Break + sub explosion - high-energy rollout,16-32,Halftime/atmospheric breather,32,Beats thin for mix,5-6 min,16/32-bar,"DJ intro (16-32 bars, beats/bass) -> first drop -> breakdown/rollout -> second drop -> outro. Break-led, 170+ BPM.",UK,2000s,"Dark, technical, metallic bass design","Chopped breakbeats, Reese/neuro & sub bass, cinematic pads","170 BPM chopped amen/2-step breaks, layered snares, ghost notes","Minor pads & atmospheres, sub as the foundation","Break editing, bass sound-design (Reese/neuro), sub management, drops",Natural minor,"i-VI minor pads, sub-led","Reese via Serum/Massive, Amen breaks; Serum",Master ~-6 to -8 LUFS; mono sub <120Hz; tight break bus,"Noisia, Mefjus",Noisia - Machine Gun,Vision,2003-present,"Techstep, Halftime",,Machine Gun - Noisia (2010),Wormhole - Ed Rush & Optical (1998),Suicide Bassline - Mefjus,,
Drum & Bass,Techstep,Subgenre,170,176,170-176,Minor (E/F/G min),"9A, 4A, 6A",,,8,"Jungle, Halftime, Dubstep (halftime)",Double-drop or bass-swap on the drop,"Filter + Crush - filter the breaks, crush for edge","Echo & Roll on the drop; Reverb tail, Spiral for lift",4-8 bars; 1-2 bar roll into drop,Echo 1/1; Roll 1/8; Reverb tail,40-60%; 100% on the drop,In: 16-32 bar DJ intro. Out: on the drop (double-drop) or rollout,Low-Med - mostly instrumental drops,High - double-drops are a staple (match keys),8-16 bars,32,DJ-tool beats & bass - steady in,-,"Tension roll, filter & riser",32,Break + sub explosion - high-energy rollout,16-32,Halftime/atmospheric breather,32,Beats thin for mix,5-6 min,16/32-bar,"DJ intro (16-32 bars, beats/bass) -> first drop -> breakdown/rollout -> second drop -> outro. Break-led, 170+ BPM.",,,"Dark, mechanical DnB - sci-fi textures and grinding basslines","Chopped breakbeats, Reese/neuro & sub bass, cinematic pads","170 BPM chopped amen/2-step breaks, layered snares, ghost notes","Minor pads & atmospheres, sub as the foundation","Break editing, bass sound-design (Reese/neuro), sub management, drops",Natural minor,"i-VI minor pads, sub-led","Reese via Serum/Massive, Amen breaks; Serum",Master ~-6 to -8 LUFS; mono sub <120Hz; tight break bus,Ed Rush & Optical,,,,"Neurofunk, Drum & Bass",,,,,,
Dubstep,Dubstep,Genre,138,142,138-142,Minor (E/F/G min),"9A, 4A, 6A",Halftime,Peak/Festival,8,"Riddim, Trap, DnB (halftime)",Cut on the drop; halftime bridges 70/140,Crush + Filter + Noise - crush/noise for aggression,Roll & Trans on the drop; Echo/Reverb for the wash,4 bars; 1-2 bar roll,Roll 1/8-1/16; Echo 1/2; Trans,50-100% on the drop,In: intro/build. Out: on the drop or brief breakdown,"Low-Med - vocal hooks, instrumental drops",High - line up the drops (match keys),8-16 bars,16,Ominous sparse set-up,8,"Rising dread - riser + vocal chop, pause",16,"Aggressive impact - halftime wobble/growl bass, headbang",16,Brief melodic/atmo breather,16,Beat tail for mix,3-4 min,8/16-bar,Intro -> riser/build -> halftime drop (16 bars) -> mid breakdown -> second drop -> outro. Halftime feel at ~140.,"London, UK",early 2000s,"Halftime feel, wobble/growl bass at 140","LFO wobble/growl bass, metallic FM basses, cinematic risers","Halftime - kick on 1, snare on 3, sparse hats, big space","Dark minor, bass-as-lead, dissonant","Bass sound-design (LFO/FM/resampling), halftime groove, risers, drops",Phrygian / natural minor,"i-bII (Phrygian) dark, bass-led","Serum (LFO growls), FM8; Serum",Master ~-6 LUFS; mono sub; tame mid-growl clash,"Skrillex, Excision, Benga",Skrillex - Scary Monsters,"Never Say Die, Deadbeats",peak 2010-14; steady,"Riddim, Midtempo, Trap",,Midnight Request Line - Skream (2005),Scary Monsters and Nice Sprites - Skrillex (2010),In for the Kill (Skream rmx) - La Roux (2009),Cockney Thug - Rusko (2008),Eastern Jam - Chase & Status (2008)
Dubstep,Melodic Dubstep,Subgenre,140,150,140-150,Minor (E/F/G min),"9A, 4A, 6A",,,8,"Riddim, Trap, DnB (halftime)",Cut on the drop; halftime bridges 70/140,Crush + Filter + Noise - crush/noise for aggression,Roll & Trans on the drop; Echo/Reverb for the wash,4 bars; 1-2 bar roll,Roll 1/8-1/16; Echo 1/2; Trans,50-100% on the drop,In: intro/build. Out: on the drop or brief breakdown,"Low-Med - vocal hooks, instrumental drops",High - line up the drops (match keys),8-16 bars,16,Ominous sparse set-up,8,"Rising dread - riser + vocal chop, pause",16,"Aggressive impact - halftime wobble/growl bass, headbang",16,Brief melodic/atmo breather,16,Beat tail for mix,3-4 min,8/16-bar,Intro -> riser/build -> halftime drop (16 bars) -> mid breakdown -> second drop -> outro. Halftime feel at ~140.,,,Emotional dubstep - lush melodies and vocals over 140 drops,"LFO wobble/growl bass, metallic FM basses, cinematic risers","Halftime - kick on 1, snare on 3, sparse hats, big space","Dark minor, bass-as-lead, dissonant","Bass sound-design (LFO/FM/resampling), halftime groove, risers, drops",Phrygian / natural minor,"i-bII (Phrygian) dark, bass-led","Serum (LFO growls), FM8; Serum",Master ~-6 LUFS; mono sub; tame mid-growl clash,"Illenium, Seven Lions",,,,"Dubstep, Future Bass",,,,,,
Dubstep,Midtempo,Subgenre,90,110,90-110,Minor (E/F/G min),"9A, 4A, 6A",Halftime,Peak,8,"Riddim, Trap, DnB (halftime)",Cut on the drop; halftime bridges 70/140,Crush + Filter + Noise - crush/noise for aggression,Roll & Trans on the drop; Echo/Reverb for the wash,4 bars; 1-2 bar roll,Roll 1/8-1/16; Echo 1/2; Trans,50-100% on the drop,In: intro/build. Out: on the drop or brief breakdown,"Low-Med - vocal hooks, instrumental drops",High - line up the drops (match keys),8-16 bars,16,Dark cinematic set-up,8,Riser tension,16,"~100 BPM dark halftime stomp - robotic, ominous",16,Atmos breather,16,Tail,3-4 min,8/16-bar,Intro -> build -> dark halftime drop (~90-110) -> breakdown -> second drop -> outro.,Global,2010s,"Dark 90-110 BPM cinematic bass, robotic","Dark distorted mid-bass, robotic leads, cinematic FX","~100 BPM halftime stomp, punchy","Dark minor, ominous","Bass distortion, cinematic risers, robotic sound-design",Phrygian / natural minor,"i-bII (Phrygian) dark, bass-led","Serum (LFO growls), FM8; Serum",Master ~-6 LUFS; mono sub; tame mid-growl clash,"Rezz, 1788-L",,,2017-present,"Dubstep, Trap",Midtempo bass,,,,,
Dubstep,Riddim,Subgenre,140,150,140-150,Minor (E/F/G min),"9A, 4A, 6A",Halftime,Peak,8,"Dubstep, Trap",Cut on the drop; halftime bridge,Crush + Filter - crush for the growl,Roll & Trans on the drop; short Echo,4 bars; 1-2 bar roll,Roll 1/8-1/16; Trans,50-100% on the drop,In: intro/build. Out: on the drop,Low - instrumental,High - line up the drops,8-16 bars,16,Sparse menacing set-up,8,Riser + pause,16,Repetitive triplet-growl drop - grimy headbang loop,16,Brief reset,16,Tail,3-4 min,8/16-bar,Intro -> build -> repetitive triplet-growl drop -> reset -> second drop -> outro. Minimalist.,USA/UK,2010s,"Repetitive triplet growl bass, minimalist","Repetitive triplet growl bass, minimal FX","Halftime, minimal, repetitive","Dark minor, one bass motif","Growl-bass resampling, triplet rhythm, minimalism",Phrygian / minor,One bass motif (no chords),Serum (triplet growls); Serum,Master ~-6 LUFS; mono sub; controlled mids,"Subtronics, Perso",,Never Say Die,2015-present,Dubstep,,,,,,
Dubstep,Brostep,Subgenre,140,150,140-150,Minor (E/F/G min),"9A, 4A, 6A",,,8,"Riddim, Trap, DnB (halftime)",Cut on the drop; halftime bridges 70/140,Crush + Filter + Noise - crush/noise for aggression,Roll & Trans on the drop; Echo/Reverb for the wash,4 bars; 1-2 bar roll,Roll 1/8-1/16; Echo 1/2; Trans,50-100% on the drop,In: intro/build. Out: on the drop or brief breakdown,"Low-Med - vocal hooks, instrumental drops",High - line up the drops (match keys),8-16 bars,16,Ominous sparse set-up,8,"Rising dread - riser + vocal chop, pause",16,"Aggressive impact - halftime wobble/growl bass, headbang",16,Brief melodic/atmo breather,16,Beat tail for mix,3-4 min,8/16-bar,Intro -> riser/build -> halftime drop (16 bars) -> mid breakdown -> second drop -> outro. Halftime feel at ~140.,,,"Aggressive US dubstep - loud, mid-range 'talking' growl bass","LFO wobble/growl bass, metallic FM basses, cinematic risers","Halftime - kick on 1, snare on 3, sparse hats, big space","Dark minor, bass-as-lead, dissonant","Bass sound-design (LFO/FM/resampling), halftime groove, risers, drops",Phrygian / natural minor,"i-bII (Phrygian) dark, bass-led","Serum (LFO growls), FM8; Serum",Master ~-6 LUFS; mono sub; tame mid-growl clash,"Skrillex, Excision",,,,"Dubstep, Riddim",,,,,,
Electro (Classic / Detroit / Modern),Electro (Classic / Detroit / Modern),Genre,125,135,125-135,Minor (A/G min),"8A, 6A",Four-on-the-floor / broken,Peak,6,"Breaks, Techno, Bass/Club","808-groove blend, EQ trade","Filter + Crush - robotic, gritty colour","Echo, Roll & Trans on the 808 groove",4-8 bars,Echo 1/2; Roll 1/8,30-60%,In: 16-bar intro. Out: on the drop / outro,Low - mostly instrumental,Med - drops align,16-32 bars,16,808 electro-funk groove in,-,Robotic tension builds,32,Funky machine drive - punchy electro peak,16,Synth/atmo breather,16,Groove tail for mix,5-6 min,16-bar,808 electro-funk groove; intro -> main -> breakdown -> outro; broken/4-4 hybrid.,Detroit/Germany,1980s,"808 electro-funk beats, robotic synths","808/drum-machine kit, robotic synths, vocoder","808 electro-funk beat - syncopated, snappy, robotic","Funky minor, machine melodies","808 programming, vocoder, electro bounce, analog synths",Natural minor,Funky minor machine riff,"TR-808, vocoder, FM; FM8, 808",Master ~-8 LUFS; punchy 808; mono sub,"Kraftwerk, Drexciya, DJ Stingray",,"Clone, WeMe",1983-89; revival 2020-present,"Techno, Bass/Club",Beatport renamed the old 'Electro House' to this,Clear - Cybotron (1983),Planet Rock - Afrika Bambaataa (1982),Numbers - Kraftwerk (1981),La Rock 01 - Vitalic (2001),Da Funk - Daft Punk (1995)
Electronica,Electronica,Genre,90,130,90-130,Varies / modal,-,Varies,Listening,4,"Downtempo, Ambient, Indie Dance",Long blend / not always beatmatched,"Filter + Space + Dub Echo - textural, experimental","Reverb, Echo & Ping-Pong for washes",8-16 bars or free,Reverb; Echo 1/1-2/1; Ping-Pong,30-60% washes,"In/Out: free - blend on texture, not always beatmatched",Med - varies widely,Low - not drop-based,free / 16+ bars,-,Mood-setting intro,-,Section shift / lift,-,"Main theme - textured, listening energy",-,Contrast section / dip,-,Resolving outro,3-6 min,verse/section,Song/album-oriented; verse-chorus or evolving structure; not always DJ-arranged.,UK/Global,1990s,Broad home-listening electronic; downtempo to leftfield,"Experimental synths, glitch textures, heavy sampling","Complex programmed/glitched breaks, unusual meters","Adventurous - modal, atonal or lush","Sound-design experimentation, glitch/granular, intricate programming",Modal / varied,"Adventurous, evolving","Any - experimental; Serum, samplers",Dynamic master ~-10 to -14 LUFS; preserve detail,"Aphex Twin, Bonobo, Four Tet",,"Warp, Ninja Tune",1994-present,"Downtempo, IDM",,Windowlicker - Aphex Twin (1999),Roygbiv - Boards of Canada (1998),Star Guitar - The Chemical Brothers (2002),Angel Echoes - Four Tet (2010),Odessa - Caribou (2010)
Electronica,IDM,Subgenre,,,varies,Varies / modal,-,,,4,"Downtempo, Ambient, Indie Dance",Long blend / not always beatmatched,"Filter + Space + Dub Echo - textural, experimental","Reverb, Echo & Ping-Pong for washes",8-16 bars or free,Reverb; Echo 1/1-2/1; Ping-Pong,30-60% washes,"In/Out: free - blend on texture, not always beatmatched",Med - varies widely,Low - not drop-based,free / 16+ bars,-,Mood-setting intro,-,Section shift / lift,-,"Main theme - textured, listening energy",-,Contrast section / dip,-,Resolving outro,3-6 min,verse/section,Song/album-oriented; verse-chorus or evolving structure; not always DJ-arranged.,,,"Intelligent dance music - complex, experimental beats for listening","Experimental synths, glitch textures, heavy sampling","Complex programmed/glitched breaks, unusual meters","Adventurous - modal, atonal or lush","Sound-design experimentation, glitch/granular, intricate programming",Modal / varied,"Adventurous, evolving","Any - experimental; Serum, samplers",Dynamic master ~-10 to -14 LUFS; preserve detail,"Aphex Twin, Autechre",,,,"Electronica, Ambient",Intelligent dance music,,,,,
Electronica,Synthwave / Synthpop,Subgenre,80,118,80-118,Minor (A/F# min),"8A, 11A",Four-on-the-floor / electronic,Listening,4,"Nu Disco, Electronica, Dance/Pop","Song-form blend, vocal in/out",Filter + Space - 80s gated-reverb feel,"Reverb, Echo, Ping-Pong & Flanger for retro washes",4-8 bars,Reverb; Echo 1/1; Ping-Pong; Flanger,40-70% retro,"In/Out: free - blend on texture, not always beatmatched",Med - varies widely,Low - not drop-based,free / 16+ bars,n/a,Mood-setting intro,n/a,Section shift / lift,n/a,"Main theme - textured, listening energy",n/a,Contrast section / dip,n/a,Resolving outro,3-4 min,verse/chorus,Song-form: intro -> verse -> chorus -> verse -> chorus -> outro; retro synth arp bed.,Global,2010s,"80s-nostalgia analog synths, retro","Analog 80s synths, DX7 bells, arps, gated-reverb drums","Gated 80s drum-machine beat (LinnDrum feel), steady","80s minor/major synth progressions, arps","Gated reverb, analog warmth, chorus, retro sound-design",Natural minor / major,i-VI-III-VII 80s,"Juno/DX7, gated reverb; Diva, Dexed",Master ~-9 to -10 LUFS; gated verb; wide,"The Midnight, Gunship",,,2013-present,"Electronica, Nu Disco",1001Tracklists,Nightcall - Kavinsky (2010),Sunset - The Midnight (2016),Tech Noir - Gunship (2015),Turbo Killer - Carpenter Brut (2016),
